,Unnamed: 0,CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change,No_of_Reassignments_sum,Handle_Time_hrs_sum
8,32068,ASW000010,software,Automation Software,WBS000235,IM0032360,Closed,4,4,4.0,0.425314618,incident,KM0000479,closed,0.0,29-01-2024 15:38,,30-01-2024 14:33,30-01-2024 14:33,"9,40,58,33,333",Software,1.0,SD0098124,,1.0,C00011858,0,473
13,16016,ASW000010,software,Automation Software,WBS000284,IM0016229,Closed,4,4,4.0,0.591205971,incident,KM0000479,closed,0.0,22-11-2023 21:27,,26-11-2023 14:39,26-11-2023 14:39,"1,76,49,44,444",Software,1.0,SD0046336,,1.0,C00007132,0,614
46,44972,ASW000010,software,Automation Software,WBS000235,IM0045386,Closed,4,4,4.0,0.031514415,incident,KM0000479,closed,2.0,23-03-2024 20:02,,25-03-2024 10:32,25-03-2024 10:32,"1,35,39,44,444",Software,1.0,SD0140406,,1.0,C00018267,0,563
1038,37698,APP000002,application,Citrix,WBS000292,IM0038014,Closed,4,4,4.0,0.975108254,incident,KM0000143,closed,0.0,19-02-2024 08:41,,19-02-2024 10:05,19-02-2024 10:05,"1,40,55,55,556",Software,1.0,SD0115579,,1.0,C00014762,0,707
1039,37233,APP000002,application,Citrix,WBS000292,IM0037548,Closed,4,4,4.0,0.226634802,incident,KM0000143,closed,0.0,18-02-2024 08:11,,18-02-2024 10:47,18-02-2024 10:47,"1,93,33,33,333",Software,1.0,SD0114371,,1.0,C00014762,0,493
1040,37266,APP000002,application,Citrix,WBS000292,IM0037581,Closed,4,4,4.0,0.223802569,incident,KM0000143,closed,0.0,18-02-2024 11:02,,18-02-2024 13:09,18-02-2024 13:09,"1,55,63,88,889",Software,1.0,SD0114822,,1.0,C00014762,0,1096
1041,37542,APP000002,application,Citrix,WBS000292,IM0037857,Closed,4,4,4.0,0.884538918,incident,KM0000143,closed,0.0,19-02-2024 07:31,,19-02-2024 07:47,19-02-2024 07:47,"0,276666667",Software,1.0,SD0115487,,1.0,C00014762,0,276666667
1042,37697,APP000002,application,Citrix,WBS000292,IM0038013,Closed,4,4,4.0,0.756072579,incident,KM0000143,closed,0.0,19-02-2024 08:32,,19-02-2024 10:03,19-02-2024 10:03,"1,51,30,55,556",Software,1.0,SD0115566,,1.0,C00014762,0,693
1044,37996,APP000002,application,Citrix,WBS000292,IM0038313,Closed,4,4,4.0,0.569620193,incident,KM0000143,closed,0.0,20-02-2024 08:57,,20-02-2024 09:38,20-02-2024 09:38,"0,691111111",Software,1.0,SD0116646,,1.0,C00014762,0,691111111
1045,37597,APP000002,application,Citrix,WBS000292,IM0037912,Closed,4,4,4.0,0.85679845,incident,KM0000143,closed,0.0,19-02-2024 08:25,,19-02-2024 08:46,19-02-2024 08:46,"0,359722222",Software,1.0,SD0115360,,1.0,C00014762,0,359722222
1046,38018,APP000002,application,Citrix,WBS000292,IM0038335,Closed,4,4,4.0,0.119167548,incident,KM0000143,closed,0.0,20-02-2024 10:08,,20-02-2024 10:27,20-02-2024 10:27,"0,322777778",Software,1.0,SD0116873,,1.0,C00014762,0,322777778
1047,37833,APP000002,application,Citrix,WBS000292,IM0038150,Closed,4,4,4.0,0.533267034,incident,KM0000143,closed,0.0,19-02-2024 12:48,,19-02-2024 13:04,19-02-2024 13:04,"0,271111111",Software,1.0,SD0115947,,1.0,C00014762,0,271111111
1048,37905,APP000002,application,Citrix,WBS000292,IM0038222,Closed,NS,3,,0.330748723,incident,KM0000143,closed,0.0,19-02-2024 17:19,,20-02-2024 09:00,20-02-2024 09:00,"0,668888889",Software,1.0,SD0116374,,1.0,C00014762,0,668888889
1049,37234,APP000002,application,Citrix,WBS000292,IM0037549,Closed,4,4,4.0,0.160136113,incident,KM0000143,closed,0.0,18-02-2024 08:35,,18-02-2024 10:33,18-02-2024 10:33,"1,56,52,77,778",Software,1.0,SD0114376,,1.0,C00014762,0,964
1173,37998,APP000002,application,Citrix,WBS000292,IM0038315,Closed,4,4,4.0,0.968883925,incident,KM0000143,closed,0.0,20-02-2024 08:19,,20-02-2024 09:30,20-02-2024 09:30,"11,775",Software,1.0,SD0116569,,1.0,C00014762,0,786
1274,11444,SUB000002,subapplication,Citrix,WBS000098,IM0011624,Closed,4,4,4.0,0.40257483,incident,KM0001435,closed,1.0,7/11/2023 8:28,,12/11/2023 15:11,12/11/2023 15:11,"6,32,36,11,111",No error - works as designed,1.0,SD0032475,,1.0,C00002389,0,196
